ID;Comment;Name;Symbol;Last Update;Own;Flag
240;#;Arista Networks Inc.;ANET;07.02.2023 11:14;0;
241;#;Dollar Tree Inc.;DLTR;07.02.2023 11:14;0;
242;#;SBA Communications Corp. Class A;SBAC;07.02.2023 11:14;0;
243;#;Kraft Heinz Company;KHC;07.02.2023 11:14;0;
244;#;United Rentals Inc.;URI;07.02.2023 11:14;0;
245;#;Aptiv PLC;APTV;07.02.2023 11:14;0;
246;#;D.R. Horton Inc.;DHI;07.02.2023 11:14;0;
247;#;CoStar Group Inc.;CSGP;07.02.2023 11:14;0;
248;#;Global Payments Inc.;GPN;07.02.2023 11:14;0;
249;#;Public Service Enterprise Group Inc;PEG;07.02.2023 11:14;0;
250;#;ONEOK Inc.;OKE;07.02.2023 11:14;0;
251;#;W.W. Grainger Inc.;GWW;07.02.2023 11:14;0;
252;#;PPG Industries Inc.;PPG;07.02.2023 11:14;0;
253;#;Fastenal Company;FAST;07.02.2023 11:14;0;
254;#;Enphase Energy Inc.;ENPH;07.02.2023 11:14;0;
255;#;Keurig Dr Pepper Inc.;KDP;07.02.2023 11:14;0;
256;#;WEC Energy Group Inc;WEC;07.02.2023 11:14;0;
257;#;Electronic Arts Inc.;EA;07.02.2023 11:14;0;
258;#;Copart Inc.;CPRT;07.02.2023 11:14;0;
259;#;Kroger Co.;KR;07.02.2023 11:14;0;
260;#;International Flavors & Fragrances Inc.;IFF;07.02.2023 11:14;0;
261;#;American Water Works Company Inc.;AWK;07.02.2023 11:14;0;
262;#;Eversource Energy;ES;07.02.2023 11:14;0;
263;#;Willis Towers Watson Public Limited Company;WTW;07.02.2023 11:14;0;
264;#;Verisk Analytics Inc;VRSK;07.02.2023 11:14;0;
265;#;M&T Bank Corporation;MTB;07.02.2023 11:14;0;
266;#;T. Rowe Price Group;TROW;07.02.2023 11:14;0;
267;#;CBRE Group Inc. Class A;CBRE;07.02.2023 11:14;0;
268;#;eBay Inc.;EBAY;07.02.2023 11:14;0;
269;#;Constellation Energy Corporation;CEG;07.02.2023 11:14;0;
270;#;Equifax Inc.;EFX;07.02.2023 11:14;0;
271;#;HP Inc.;HPQ;07.02.2023 11:14;0;
272;#;Zimmer Biomet Holdings Inc.;ZBH;07.02.2023 11:14;0;
273;#;Ulta Beauty Inc.;ULTA;07.02.2023 11:14;0;
274;#;Gartner Inc.;IT;07.02.2023 11:14;0;
275;#;CDW Corp.;CDW;07.02.2023 11:14;0;
276;#;Corning Inc;GLW;07.02.2023 11:14;0;
277;#;Lennar Corporation Class A;LEN;07.02.2023 11:14;0;
278;#;GE Healthcare Technologies Inc.;GEHC;07.02.2023 11:14;0;
279;#;Walgreens Boots Alliance Inc.;WBA;07.02.2023 11:14;0;
280;#;First Republic Bank;FRC;07.02.2023 11:14;0;
281;#;Edison International;EIX;07.02.2023 11:14;0;
282;#;Tractor Supply Company;TSCO;07.02.2023 11:14;0;
283;#;Fifth Third Bancorp;FITB;07.02.2023 11:14;0;
284;#;Republic Services Inc.;RSG;07.02.2023 11:14;0;
285;#;Weyerhaeuser Company;WY;07.02.2023 11:14;0;
286;#;PG&E Corporation;PCG;07.02.2023 11:14;0;
287;#;LyondellBasell Industries NV;LYB;07.02.2023 11:14;0;
288;#;Delta Air Lines Inc.;DAL;07.02.2023 11:14;0;
289;#;AmerisourceBergen Corporation;ABC;07.02.2023 11:14;0;
290;#;AvalonBay Communities Inc.;AVB;07.02.2023 11:14;0;
291;#;Align Technology Inc.;ALGN;07.02.2023 11:14;0;
292;#;Alexandria Real Estate Equities Inc.;ARE;07.02.2023 11:14;0;
293;#;Fortive Corp.;FTV;07.02.2023 11:14;0;
294;#;Diamondback Energy Inc.;FANG;07.02.2023 11:14;0;
295;#;Hartford Financial Services Group Inc.;HIG;07.02.2023 11:14;0;
296;#;Vulcan Materials Company;VMC;07.02.2023 11:14;0;
297;#;Genuine Parts Company;GPC;07.02.2023 11:14;0;
298;#;ANSYS Inc.;ANSS;07.02.2023 11:14;0;
299;#;Arch Capital Group Ltd.;ACGL;07.02.2023 11:14;0;
300;#;Baxter International Inc.;BAX;07.02.2023 11:14;0;
301;#;Ingersoll Rand Inc.;IR;07.02.2023 11:14;0;
302;#;Dover Corporation;DOV;07.02.2023 11:14;0;
303;#;Regions Financial Corporation;RF;07.02.2023 11:14;0;
304;#;Ameren Corporation;AEE;07.02.2023 11:14;0;
305;#;Extra Space Storage Inc.;EXR;07.02.2023 11:14;0;
306;#;Laboratory Corporation of America Holdings;LH;07.02.2023 11:14;0;
307;#;Martin Marietta Materials Inc.;MLM;07.02.2023 11:14;0;
308;#;Entergy Corporation;ETR;07.02.2023 11:14;0;
309;#;Huntington Bancshares Incorporated;HBAN;07.02.2023 11:14;0;
